feature,corr,abs_corr,p_value,mean_appear,mean_not_app,delta,sig
ball_zone,-0.01976086159151398,0.01976086159151398,0.0009228323359598782,1.7943,1.8816,-0.0873,***
freq_100,0.00972210005002366,0.00972210005002366,0.10313088899749313,0.1073,0.1063,0.001,
ball_is_odd,-0.00965121931097215,0.00965121931097215,0.10566742637473626,0.4967,0.5123,-0.0156,
cooccur_last,0.009540112714974854,0.009540112714974854,0.10974279137360587,0.0478,0.0473,0.0005,
freq_10,0.009188055346679436,0.009188055346679436,0.12348062602194486,0.109,0.1061,0.0029,
avg_gap,-0.008456098710132101,0.008456098710132101,0.15630347200370678,9.4471,9.5134,-0.0663,
appeared_prev2,-0.007517120560598879,0.007517120560598879,0.2075989174267225,0.0997,0.1072,-0.0075,
freq_30,0.006526511722867933,0.006526511722867933,0.27390125200131243,0.1075,0.1063,0.0012,
current_gap,-0.006176601632179281,0.006176601632179281,0.3004534559036114,8.4164,8.6008,-0.1844,
freq_5,-0.005592048196320079,0.005592048196320079,0.3485200365918607,0.1041,0.1066,-0.0025,
appeared_last,0.005207835642618206,0.005207835642618206,0.38263439780986913,0.111,0.1058,0.0052,
freq_ratio_5_30,-0.005081831151279267,0.005081831151279267,0.39425367623579427,0.9412,0.9638,-0.0226,
gap_ratio,-0.0033025066785105756,0.0033025066785105756,0.5798273100159256,0.9446,0.9567,-0.0121,
gap_zscore,-0.002107712125303413,0.002107712125303413,0.7238340634346611,-0.0558,-0.0445,-0.0113,
last_high_cnt,-8.029194713612964e-17,8.029194713612964e-17,0.9999999999999978,2.3846,2.3846,0.0,
last_consec,2.795208725939191e-17,2.795208725939191e-17,0.9999999999999978,0.4465,0.4465,0.0,
last_odd_cnt,5.993605134771429e-18,5.993605134771429e-18,0.9999999999999978,2.4849,2.4849,0.0,
last_sum,5.3600244902252125e-18,5.3600244902252125e-18,0.9999999999999978,115.9933,115.9933,0.0,
